eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Herse,FALSE,23405000,0,0,0.2,164.2,1,0,0,2,0,0,0,NA,717.3,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029751933,5.355348003,8.25E-12,7.89E-15,0.156452762,3.63675E+12
S/2003 J 2,FALSE,28332000,0,0,0.38,151.8,1,0,0,1,0,0,0,NA,982.5,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.024577968,4.424034307,2.06E-12,7.89E-15,0.189387722,2.48185E+12
Eupheme,FALSE,20230000,0,0,0.253,148,1,0,0,1,0,0,0,NA,504,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.034421305,6.195834899,2.06E-12,7.89E-15,0.135229197,4.86787E+12
S/2003 J 4,FALSE,23928000,0,0,0.204,144.9,1,0,0,1,0,0,0,NA,723.2,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029101596,5.238287362,2.06E-12,7.89E-15,0.159948801,3.47951E+12
Eirene,FALSE,23493000,0,0,0.22,163.1,1,0,0,2,0,0,0,NA,759.7,0,2003,9E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029640489,5.335287958,8.25E-12,4.74E-14,0.157041005,2.16573E+13
S/2003 J 9,FALSE,23385000,0,0,0.269,164.5,1,0,0,0.5,0,0,0,NA,683,0,2003,1.5E+12,NA,Secondary,Jupiter,NA,NA,NA,0.029777315,5.359916613,5.16E-13,7.89E-16,0.15631907,3.64297E+11
S/2003 J 10,FALSE,23042000,0,0,0.214,164.1,1,0,0,1,0,0,0,NA,767,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.030220597,5.439707491,2.06E-12,7.89E-15,0.154026256,3.75224E+12
S/2003 J 12,FALSE,17835000,0,0,0.376,145.8,1,0,0,0.5,0,0,0,NA,533.3,0,2003,1E+12,NA,Secondary,Jupiter,NA,NA,NA,0.039043594,7.02784693,5.16E-13,5.26E-16,0.119219611,4.17535E+11
Philophrosyne,FALSE,22622000,0,0,0.194,143.6,1,0,0,1,0,0,0,NA,668.4,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.030781673,5.540701087,2.06E-12,7.89E-15,0.15121873,3.89286E+12
S/2003 J 16,FALSE,20948000,0,0,0.23,148.5,1,0,0,1,0,0,0,NA,595.4,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.033241503,5.983470498,2.06E-12,7.89E-15,0.140028731,4.53989E+12
S/2003 J 18,FALSE,20494000,0,0,0.105,146.4,1,0,0,1,0,0,0,NA,606.3,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.033977896,6.116021275,2.06E-12,7.89E-15,0.136993928,4.74326E+12
S/2003 J 19,FALSE,23532000,0,0,0.334,162.9,1,0,0,1,0,0,0,NA,701.3,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029591322,5.326438042,2.06E-12,7.89E-15,0.157301704,3.5976E+12
